Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
404.975,569.591,609.654,503.907,472.693,567.99,511.51,566.442,621.863,460.696,486.622
405.146,526.309,563.929,582.022,615.202,507.268,561.477,521.804,466.76,484.173,583.99
405.317,660.165,635.498,624.502,681.29,616.891,678.116,559.687,697.307,573.394,662.582
405.488,614.554,506.526,500.324,570.039,544.564,544.159,623.005,580.884,594.149,639.226
405.66,533.56,563.707,552.601,483.921,582.868,620.428,607.328,587.552,676.699,505.93
405.831,636.312,576.549,601.605,637.528,631.371,622.894,670.411,546.485,518.055,587.113
406.002,562.935,593.317,643.563,566.36,646.66,573.311,583.25,604.244,674.69,598.813
406.174,615.657,606.021,639.607,747.497,660.865,674.067,661.54,669.644,695.367,720.801
406.345,679.115,697.667,705.603,647.974,642.754,631.731,671.166,684.737,750.995,776.97
406.516,564.601,661.454,489.064,600.199,698.431,655.631,636.103,700.473,592.271,653.515
406.687,706.909,631.729,617.855,557.7,729.032,663.91,711.819,714.119,679.329,699.705
406.859,581.737,659.134,687.035,744.86,685.374,683.904,725.178,648.687,679.865,708.942
407.03,613.52,723.472,585.701,711.958,692.054,713.743,660.139,739.586,654.76,677.545
407.201,558.053,541.91,602.762,725.485,507.688,642.177,624.322,584.239,548.286,560.883
407.372,611.111,619.436,699.248,661.482,642.762,805.817,720.205,718.366,776.345,644.464
407.544,509.578,544.697,516.588,551.085,584.132,627.494,680.396,545.921,651.317,579.328
407.715,544.435,542.826,480.701,536.851,614.73,533.875,512.982,550.41,556.864,554.9
407.886,679.496,601.553,629.517,675.022,645.12,715.261,664.011,668.725,678.55,656.246
408.057,826.933,878.043,794.883,839.632,827.818,861.877,757.334,904.516,990.148,876.984
408.229,1219.57,1293.39,1051.59,1256.8,1184.33,1216.52,1239.22,1195.19,1177.51,1244.38
408.4,1418.07,1428.17,1284.91,1410.96,1289.17,1346.02,1429.22,1396.26,1420.46,1395.04
408.571,1725.32,1571.38,1539.96,1592.98,1614.81,1585.58,1624.22,1556.92,1634.02,1569.15
408.742,1915.17,2001.11,1782.87,1984.23,1927.11,1881.69,1968.15,1957.2,1986.64,1831.48
408.914,2476.33,2376.49,2333.79,2345.17,2471.52,2459.7,2467.64,2413.04,2356.69,2368.58
409.085,2713.72,2744.55,2866.2,2696.33,2719.23,2810.78,2802.57,2766.77,2726.62,2763.28
409.256,2901.35,2937.22,3098.08,3026.55,3157.83,3109.11,3167.94,3000.04,3085.62,3005.52
409.428,3700.99,3762.28,3605.38,3666.02,3735.7,3787.89,3797.16,3761.25,3795.64,3730.9
409.599,4105.76,4030.15,4142.21,4171.45,4110.12,4167.24,4210.53,4008.03,4226.57,4068.98
409.77,4170.64,4256.73,4015.96,4243.29,4242.0,4128.86,4264.17,4174.3,4292.24,4263.16
409.941,4879.55,5122.77,4747.84,4893.6,4850.07,4929.06,5122.64,5047.08,4989.3,4889.6
410.113,5084.33,5206.99,5047.36,5145.39,5211.99,5388.88,5075.2,5136.62,5040.04,5113.85
410.284,4965.0,5075.08,4936.85,5124.94,5069.08,5082.47,4911.3,4999.17,5063.3,5106.13
410.455,3473.94,3416.81,3319.34,3346.29,3620.43,3508.33,3376.46,3393.74,3485.85,3416.61
410.626,2604.27,2619.45,2484.56,2520.09,2544.96,2634.85,2522.46,2631.61,2595.43,2545.34
410.798,1745.46,1755.43,1834.72,1791.25,1779.14,1896.12,1664.98,1808.37,1790.11,1644.15
410.969,774.77,911.774,925.17,841.884,895.875,963.719,838.802,934.988,1016.53,910.727
411.14,551.495,511.153,555.753,543.267,549.423,524.588,580.301,518.193,555.149,554.041
411.312,658.784,500.849,644.884,548.79,577.61,624.91,638.76,518.018,622.692,597.126
411.483,587.503,473.509,528.023,448.933,555.165,596.016,457.331,466.688,489.131,609.942
411.654,527.716,526.054,443.427,437.802,492.644,555.188,468.538,544.031,518.954,591.342
411.825,327.613,446.932,466.14,439.631,446.529,412.02,380.515,410.782,381.751,495.104
411.997,565.003,528.553,542.931,577.323,527.466,650.742,657.992,541.28,520.431,509.109
412.168,426.236,490.448,459.222,471.33,431.609,463.969,359.782,404.76,542.844,495.895
412.339,486.554,428.6,400.775,342.386,415.014,391.99,477.935,422.082,455.901,472.773
412.51,525.495,412.585,506.297,414.35,445.823,521.436,495.3,541.984,495.054,488.685
412.682,335.64,534.508,508.527,491.659,422.578,504.621,516.346,533.179,546.041,543.924
412.853,514.042,512.489,474.364,494.85,463.507,467.189,441.452,425.259,513.386,509.174
413.024,503.877,385.797,391.497,513.425,461.246,500.09,405.439,389.619,445.072,528.248
413.196,505.432,432.266,414.867,360.176,480.156,433.112,443.72,531.027,426.889,401.564
413.367,389.18,437.254,443.927,516.304,534.771,435.987,517.613,426.558,474.371,490.722
413.538,504.194,483.627,534.947,368.893,513.721,435.801,413.641,519.332,430.588,425.288
