?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
384.942	440.908	450.858	584.265	477.372	624.082	410.671	470.89	534.851	572.866	634.804
385.113	319.93	443.282	457.925	401.605	584.87	392.341	663.946	479.446	419.04	415.512
385.284	374.414	433.292	552.065	504.03	527.91	577.693	255.917	467.361	271.321	555.575
385.455	647.266	429.362	731.775	604.48	846.051	494.731	484.42	615.113	495.65	403.942
385.626	520.119	754.385	691.618	630.563	758.028	568.5	733.972	574.016	741.65	661.193
385.798	553.003	455.572	355.219	435.375	399.487	412.253	369.015	417.744	527.201	541.722
385.969	382.218	247.631	501.142	481.252	473.765	618.945	578.656	365.997	413.402	343.333
386.14	1021.73	1190.51	848.739	933.181	809.545	900.196	833.864	1045.77	945.907	740.388
386.311	1036.67	841.815	810.628	1055.39	1127.68	851.391	849.134	1034.22	1129.47	700.474
386.482	453.829	524.207	685.757	592.178	562.853	630.944	496.364	597.464	684.656	571.027
386.654	429.409	501.814	487.805	346.072	475.584	493.698	434.257	544.427	420.718	462.706
386.825	338.126	455.208	573.397	549.851	465	571.703	541.07	408.786	529.543	514.555
386.996	519.181	521.053	377.568	450.043	456.801	351.016	556.025	589.639	529.118	446.945
387.167	514.898	395.568	391.89	439.208	331.319	476.577	503.431	479.021	533.724	409.283
387.338	699.109	613.267	496.352	454.193	627.352	455.593	575.307	476.517	609.266	573.173
387.51	750.093	636.5	597.596	685.985	801.911	775.327	783.976	729.794	714.627	665.592
387.681	588.022	625.816	677.403	828.475	911.487	729.987	731.555	656.807	923.895	764.325
387.852	636.1	880.794	629.02	780.853	558.662	692.908	809.238	577.493	781.179	579.567
388.023	629.416	666.528	595.535	768.675	631.605	816.003	686.023	585.827	458.184	761.796
388.194	692.648	832.033	588.092	693.183	756.178	549.545	677.922	825.698	691.929	674.242
388.366	811.439	715.258	640.274	799.674	770.16	861.093	796.357	794.276	808.085	924.705
388.537	895.852	1081.1	925.37	986.817	784.365	1014.01	954.744	1049.05	943.84	990.42
388.708	642.222	812.839	735.505	824.601	763.476	812.32	614.517	823.175	754.146	625.925
388.879	701.246	722.342	650.234	607.058	735.946	662.918	693.76	844.764	720.633	945.383
389.05	787.417	914.284	585.106	787.927	776.827	642.483	638.549	670.373	716.999	684.833
389.222	765.626	672.964	522.725	669.472	679.021	691.4	624.693	802.445	825.15	584.842
389.393	569.375	507.302	568.959	576.348	503.499	490.082	384.289	483.118	468.241	306.385
389.564	514.797	526.119	439.391	481.541	584.422	548.098	562.633	524.993	599.857	573.752
389.735	446.946	435.845	412.783	305.538	721.667	403.653	502.135	404.863	582.193	485.231
389.906	396.78	320.464	674.886	500.241	477.143	479.267	460.542	566.435	601.707	555.056
390.078	466.677	379.719	484.267	427.26	510.417	484.491	455.09	458.43	447.693	407.808
390.249	358.694	287.831	461.236	286.684	341.61	350.043	466.295	516.538	430.791	466.109
390.42	571.662	953.838	698.841	549.992	617.508	623.967	828.531	901.147	764.722	805.041
390.591	405.863	476.723	451.345	507.248	205.988	490.515	401.694	530.526	484.751	316.611
390.763	381.549	376.015	578.064	323.771	442.04	358.644	525.267	395.532	540.086	361.859
390.934	357.862	380.353	426.326	422.231	356.059	383.485	412.482	382.786	346.899	333.002
391.105	333.81	441.284	552.368	498.214	555.294	611.963	501.428	444.539	579.487	673.241
391.276	438.362	381.551	387.868	451.006	390.013	432.952	451.601	392.603	496.356	349.721
391.447	419.76	447.059	366.446	370.799	345.577	331.512	307.262	393.262	345.754	388.752
391.619	570.82	490.519	505.136	703.285	439.275	444.056	583.341	372.581	531.422	410.958
391.79	715.942	793.138	335.122	623.2	477.351	473.635	477.781	675.976	651.54	493.381
391.961	483.071	495.312	333.144	492.32	557.746	380.311	539.831	383.091	379.909	371.135
392.132	489.048	461.793	524.166	670.361	486.016	458.966	504.687	567.915	441.101	462.557
392.303	447.655	527.797	401.327	362.279	598.726	409.135	460.13	370.376	419.888	397.15
392.475	526.484	429.352	443.64	553.08	388.521	427.012	521.941	385.222	665.723	321.767
392.646	400.703	456.467	434.647	545.531	449.486	423.478	338.049	452.24	372.458	378.795
392.817	447.31	470.077	310.61	535.953	440.482	432.12	394.112	307.169	423.001	315.097
392.988	636.132	629.181	637.681	628.896	623.958	573.64	643.949	525.71	640.955	795.828
393.159	381.146	338.972	413.571	297.434	278.873	313.799	488.794	456.949	427.864	499.502
393.331	389.798	443.329	417.682	327.629	486.73	359.818	389.507	425.127	466.635	544.972
393.502	399.362	376.683	340.803	420.144	412.478	284.406	393.656	292.132	304.407	391.933
393.673	407.602	335.041	417.215	335.905	305.464	333.62	364.864	364.146	383.561	469.9
393.844	671.122	369.714	557.362	556.13	651.322	576.312	466.815	439.616	447.585	475.183
394.016	472.743	385.733	398.125	460.54	375.549	570.967	341.775	438.013	395.015	562.461
394.187	327.803	383.929	442.328	409.726	339.389	327.952	425.83	413.239	428.733	411.124
394.358	436.572	459.449	459.058	358.957	355.577	300.998	339.463	494.345	393.895	424.811
394.529	357.972	400.416	416.626	334.55	399.596	420.006	459.227	429.841	445.714	468.049
394.7	483.844	464.931	420.777	427.842	453.726	393.449	397.723	462.658	472.248	350.776
394.872	416.328	429.177	359.942	426.631	361.485	472.153	548.668	501.787	523.134	535.655
395.043	421.96	492.51	442.571	487.281	518.646	442.929	459.295	475.163	478.922	462.027
395.214	538.77	550.802	563.849	536.595	545.436	555.219	547.596	524.49	532.743	494.895
395.385	767.277	679.236	754.679	678.003	844.961	651.271	718.339	761.153	742.459	685.342
395.557	733.315	676.473	838.784	648.695	623.703	709.501	676.11	691.371	690.392	685.36
395.728	710.238	872.02	779.195	714.006	761.225	781.021	796.817	823.56	820.097	891.836
395.899	909.748	1165.87	1070.14	829.007	1174.38	957.945	1078.73	967.627	1021.57	1049.15
396.07	983.8	945.494	960.729	1004.59	950.057	946.92	955.37	866.602	881.719	854.238
396.241	1372.01	1122.83	1140.83	1123.55	1071.32	1131.94	1074.85	1288.11	1101.1	1259.22
396.413	1416.48	1275.69	1276.78	1311.17	1284.58	1372.06	1338.62	1251.04	1299.11	1330.48
396.584	1385.1	1434.31	1343.44	1522.18	1422.61	1353.27	1329.29	1412.78	1361.05	1451.15
396.755	1363.75	1448.48	1383.01	1471.91	1505.11	1478.63	1428.58	1441.57	1452.89	1393.54
396.926	1358.68	1427.46	1624.25	1511.91	1413.13	1403.48	1421.28	1428.11	1537.96	1379.18
397.098	1398.11	1477.18	1452.42	1287.99	1342.66	1446.69	1376.64	1348.68	1439.05	1382.46
397.269	1525.41	1463.46	1327.12	1350.02	1327.36	1451.46	1318.74	1489.3	1276.81	1558.28
397.44	1107.98	1082.11	968.835	1055.41	998.992	1139.94	1209.92	1047.7	1156.66	1095.31
397.611	952.875	939.03	792.231	894.254	820.565	947.399	910.52	1009.37	811.226	838.993
397.783	569.446	590.686	628.081	562.682	561.105	658.706	566.23	565.612	632.943	637.107
397.954	465.964	479.152	481.66	404.021	489.846	457.206	648.437	522.152	508.383	512.319
398.125	485.623	397.602	396.03	454.785	478.964	332.687	367.182	417.339	357.293	345.125
398.296	481.375	478.742	578.088	530.222	413.543	396.445	453.595	474.037	419.313	410.723
398.467	525.224	426.952	441.209	487.925	475.875	580.983	525.114	484.826	517.931	508.69
398.639	539.71	420.716	531.887	620.894	577.541	481.658	469.629	532.967	508.454	546.732
398.81	506.366	496.993	448.314	473.784	398.949	463.511	419.19	496.265	450.335	515.534
398.981	440.302	529.45	377.549	359.46	571.603	446.225	487.684	497.429	538.314	468.103
399.152	504.623	401.4	407.477	464.898	569.34	409.207	544.358	428.764	523.01	434.377
399.324	447.292	403.592	474.814	449.624	423.373	432.848	422.253	296.878	385.43	301.334
399.495	471.17	434.333	448.13	545.825	470.083	461.287	407.325	460.495	420.286	477.932
399.666	472.27	581.054	511.757	493.171	456.29	514.842	530.763	476.885	553.586	501.239
399.837	650.446	462.584	556.838	549.294	471.049	441.577	605.064	497.777	651.552	560.064
400.009	247.397	507.469	417.621	578.266	444.767	426.411	420.766	453.573	370.65	501.54
400.18	374.195	347.828	377.854	401.599	418.967	419.195	388.855	399.899	266.419	348.922
400.351	486.019	467.772	439.267	548.818	435.671	470.605	574.615	406.523	521.381	440.703
400.522	467.026	368.682	360.148	462.26	337.196	351.162	427.116	467.608	377.745	336.654
400.694	556.254	519.83	496.089	487	458.463	471.802	482.239	451.45	452.598	355.627
400.865	444.895	365.725	391.836	308.972	364.09	399.84	304.374	387.686	360.013	464.884
401.036	306.555	339.688	399.255	517.771	369.948	389.521	378.104	516.05	519.801	533.123
401.207	467.776	406.67	481.336	386.732	412.403	348.348	463.632	487.888	487.475	428.577
401.379	579.984	460.045	425.665	409.334	405.397	407.185	403.452	448.014	353.275	544.5
401.55	377.874	419.57	526.642	407.998	417.956	414.69	381.906	377.222	411.286	363.851
401.721	325.5	350.664	366.725	571.774	338.972	558.313	430.117	402.811	479.491	350.526
401.892	552.743	469.544	371.386	403.347	385.818	384.1	463.725	401.603	322.142	402.152
402.063	493.74	509.727	413.612	470.275	367.918	406.714	398.195	290.355	451.393	423.613
402.235	347.987	480.885	416.1	393.735	420.235	398.119	428.39	515.698	414.203	480.664
402.406	478.464	357.612	483.473	427.664	474.424	323.179	445.387	380.805	534.657	506.145
402.577	468.303	416.294	552.886	414.484	409.538	546.453	369.761	467.586	627.459	437.909
402.748	486.81	320.611	376.561	387.144	314.042	536.394	380.658	446.114	431.521	365.333
402.92	364.914	392.308	358.725	368.448	348.789	379.458	440.299	378.597	464.505	366.069
403.091	312.171	412.212	436.214	363.995	396.887	316.908	407.246	390.779	359.342	439.784
403.262	528.289	476.63	470.528	382.689	486.476	536.779	399.528	450.198	543.181	450.78
403.433	458.081	497.922	483.185	415.762	473.196	373.827	483.768	512.988	458.798	517.169
403.605	488.2	525.942	462.294	471.673	493.613	431.738	527.36	500.966	426.596	407.145
403.776	385.909	448.535	465.931	398.149	342.015	421.411	362.262	362.285	315.484	488.18
403.947	433.166	573.591	419.955	318.689	453.714	466.471	483.112	437.286	315.953	426.063
404.118	490.006	443.3	456.902	416.577	469.465	480.092	514.242	520.924	489.316	404.009
404.29	575.975	506.803	436.072	482.708	423.405	500.69	439.109	483.496	496.051	390.933
404.461	621.99	509.606	413.876	496.233	449.314	538.486	403.881	460.545	461.683	630.953
404.632	567.31	484.743	486.914	501.647	506.047	477.68	495.989	380.891	524.291	468.88
404.803	464.141	372.896	348.824	439.338	452.184	425.391	378.883	508.132	487.98	419.707
404.975	459.879	558	446.479	447.864	531.048	396.714	461.434	430.553	423.532	490.945
405.146	447.541	426.559	357.134	409.128	422.386	389.714	510.813	534.586	448.186	509.193
405.317	510.168	547.366	566.951	455.413	553.921	510.296	552.783	449.734	408.348	560.405
